geoid,county,tract,snap_rate,total_households,snap_households
25025120103,Suffolk,120103,0.02680965147453083,746,20
25025120104,Suffolk,120104,0.1267092069279854,1097,139
25025120105,Suffolk,120105,0.014629049111807733,957,14
25025120201,Suffolk,120201,0.051756885090218425,2106,109
25025120301,Suffolk,120301,0.1694997571636717,2059,349
25025120400,Suffolk,120400,0.15379449294828745,2978,458
25025120500,Suffolk,120500,0.10744580584354382,1061,114
25025120600,Suffolk,120600,0.0,1199,0
25025120700,Suffolk,120700,0.11452810180275716,943,108
25025130101,Suffolk,130101,0.04313871327631089,2689,116
25025130200,Suffolk,130200,0.04039301310043668,1832,74
25025130300,Suffolk,130300,0.022847100175746926,1707,39
25025130402,Suffolk,130402,0.1425233644859813,2140,305
25025130404,Suffolk,130404,0.11811594202898551,1380,163
25025130406,Suffolk,130406,0.3056179775280899,2225,680
25025140102,Suffolk,140102,0.1419753086419753,1782,253
25025140105,Suffolk,140105,0.1850187265917603,1335,247
25025140106,Suffolk,140106,0.3568665377176016,1034,369
25025140107,Suffolk,140107,0.2946817785527463,1147,338
25025140201,Suffolk,140201,0.08862034239677745,993,88
25025140202,Suffolk,140202,0.11073500967117988,2068,229
25025140300,Suffolk,140300,0.23135685703892325,2749,636
25025140400,Suffolk,140400,0.20933246921581336,3086,646
25025160102,Suffolk,160102,0.19759450171821305,1164,230
25025160103,Suffolk,160103,0.2804979253112033,1205,338
25025160200,Suffolk,160200,0.27354627354627353,1221,334
25025160300,Suffolk,160300,0.22573363431151242,1329,300
25025160400,Suffolk,160400,0.12046543463381246,1461,176
25025160501,Suffolk,160501,0.23236935565702688,1971,458
25025160502,Suffolk,160502,0.2510775862068966,1856,466
25025160601,Suffolk,160601,0.18351577591757887,1553,285
25025160602,Suffolk,160602,0.19557195571955718,1626,318
25025170101,Suffolk,170101,0.13452914798206278,1115,150
25025170102,Suffolk,170102,0.18888186986734049,1583,299
25025170200,Suffolk,170200,0.2793814432989691,1940,542
25025170301,Suffolk,170301,0.09969788519637462,1986,198
25025170302,Suffolk,170302,0.07009345794392523,1712,120
25025170400,Suffolk,170400,0.19393939393939394,1980,384
25025170502,Suffolk,170502,0.19356833642547927,1617,313
25025170503,Suffolk,170503,0.1527165932452276,681,104
25025170504,Suffolk,170504,0.10996835443037975,1264,139
25025170601,Suffolk,170601,0.16411378555798686,1828,300
25025170701,Suffolk,170701,0.17270788912579957,938,162
25025170702,Suffolk,170702,0.22667217175887697,2422,549
25025170800,Suffolk,170800,0.1095392077607114,2474,271
25025180101,Suffolk,180101,0.19261962692619627,2466,475
25025180200,Suffolk,180200,0.0660377358490566,1908,126
25025180301,Suffolk,180301,0.04208754208754209,1188,50
25025180400,Suffolk,180400,0.13079667063020214,841,110
25025180500,Suffolk,180500,0.06545454545454546,1925,126
25025980900,Suffolk,980900,0.19230769230769232,26,5
25025981000,Suffolk,981000,0.0,16,0
25025981100,Suffolk,981100,0.0,4,0
25025981300,Suffolk,981300,0.0,18,0
25025981800,Suffolk,981800,0.0,28,0
